70964.3 89.9192	390.031	311.416	-0.054379	-0.771008	0.632792	0.046514	89.9169	390.031	311.363	0.0558228	0.770223	-0.63362	-0.0465412	0.834092	-0.79929	-0.17557	0.0915439	0.2715	0.0361028	0.961752	-0.661195	0.0570468	0.0146372	-0.0103155	0.000203294	0.269693	-0.187823	0.00470441	90.1888	389.843	311.421	-0.054379	-0.771008	0.632792	0.046514	
70966.3 89.9192	390.031	311.42	-0.054276	-0.771064	0.632733	0.046512	89.9169	390.031	311.363	0.0558228	0.770223	-0.63362	-0.0465412	0.841225	-0.754781	-0.203052	0.0898358	0.272067	0.0439728	0.923828	-0.675944	0.0906834	0.0150211	-0.0106358	0.000223091	0.299736	-0.209095	0.00515059	90.2189	389.822	311.425	-0.054276	-0.771064	0.632733	0.046512	
70968.3 89.9192	390.031	311.424	-0.054173	-0.77112	0.632674	0.04651	89.9162	390.029	311.363	0.0558274	0.77022	-0.633623	-0.0465393	0.800702	-0.756155	-0.177165	0.0918341	0.271976	0.0404093	0.913662	-0.636623	0.0649136	0.0153463	-0.0108455	0.000221749	0.330428	-0.230786	0.00559409	90.2496	389.8	311.429	-0.054173	-0.77112	0.632674	0.04651	
70970.4 89.9192	390.031	311.427	-0.054069	-0.771176	0.632614	0.046508	89.9162	390.029	311.363	0.0558274	0.77022	-0.633623	-0.0465393	0.861741	-0.771447	-0.226256	0.0907832	0.271566	0.0435953	0.947264	-0.692273	0.111212	0.0157062	-0.0111455	0.00025154	0.361841	-0.253077	0.00609717	90.281	389.778	311.433	-0.054069	-0.771176	0.632614	0.046508	
70972.3 89.9192	390.031	311.431	-0.053966	-0.771232	0.632555	0.046506	89.9169	390.031	311.366	0.0558199	0.770223	-0.63362	-0.0465424	0.653827	-0.771978	-0.0716801	0.0903715	0.270826	0.0420963	0.885698	-0.492327	-0.0416161	0.015907	-0.0110156	0.000173488	0.393655	-0.275108	0.00644414	90.3128	389.756	311.437	-0.053966	-0.771232	0.632555	0.046506	
70974.3 89.9192	390.031	311.435	-0.053863	-0.771288	0.632496	0.046505	89.9169	390.031	311.366	0.0558199	0.770223	-0.63362	-0.0465424	0.700162	-0.883996	-0.203093	0.0909659	0.264317	0.0513352	1.0221	-0.512869	0.0721248	0.0163605	-0.0109398	0.000186873	0.426376	-0.296988	0.00681789	90.3455	389.734	311.441	-0.053863	-0.771288	0.632496	0.046505	
70976.3 89.9192	390.031	311.438	-0.05376	-0.771344	0.632436	0.046503	89.9157	390.027	311.374	0.0558085	0.770224	-0.63362	-0.0465471	0.454258	-0.852235	-0.35376	0.0902277	0.262959	0.045443	0.965332	-0.273571	0.226041	0.0166551	-0.0103929	0.000300193	0.459686	-0.317773	0.00741827	90.3788	389.713	311.446	-0.05376	-0.771344	0.632436	0.046503	
70978.3 89.9192	390.031	311.442	-0.053657	-0.7714	0.632377	0.046501	89.9157	390.027	311.374	0.0558085	0.770224	-0.63362	-0.0465471	0.241872	-0.962879	-0.2148	0.0894085	0.255604	0.049493	1.01203	-0.0478022	0.0727184	0.0170137	-0.00944924	0.000288633	0.493713	-0.336672	0.00799554	90.4129	389.694	311.45	-0.053657	-0.7714	0.632377	0.046501	
70980.3 89.9192	390.031	311.446	-0.053554	-0.771456	0.632318	0.046499	89.9166	390.019	311.389	0.0557765	0.770234	-0.63361	-0.04655	0.0904379	-1.05341	-0.101082	0.0971753	0.236903	0.0654332	1.05454	0.115028	-0.0527289	0.0174214	-0.00827426	0.000195754	0.528556	-0.35322	0.00838705	90.4477	389.678	311.454	-0.053554	-0.771456	0.632318	0.046499	
70982.3 89.9192	390.031	311.449	-0.053451	-0.771512	0.632258	0.046497	89.9166	390.019	311.389	0.0557765	0.770234	-0.63361	-0.04655	-0.255629	-1.11787	0.345167	0.102471	0.222653	0.0555172	0.986883	0.45489	-0.503253	0.017653	-0.00653705	-0.000178899	0.563862	-0.366295	0.00802925	90.483	389.665	311.457	-0.053451	-0.771512	0.632258	0.046497	
70984.3 89.9192	390.031	311.453	-0.053348	-0.771568	0.632199	0.046495	89.9144	390.008	311.416	0.0557278	0.770246	-0.633599	-0.0465682	-0.0923599	-1.19572	0.763488	0.102449	0.207527	0.0620314	1.03439	0.298393	-0.928542	0.0179565	-0.00528656	-0.000762147	0.599775	-0.376868	0.00650496	90.5189	389.654	311.46	-0.053348	-0.771568	0.632199	0.046495	
70986.3 89.9192	390.031	311.457	-0.053244	-0.771624	0.63214	0.046493	89.9144	390.008	311.416	0.0557278	0.770246	-0.633599	-0.0465682	-0.0811334	-1.35848	0.0887747	0.108423	0.202275	0.0748204	1.29062	0.336555	-0.284536	0.0187421	-0.00408479	-0.000799408	0.637259	-0.385037	0.00490614	90.5564	389.646	311.462	-0.053244	-0.771624	0.63214	0.046493	
70988.3 89.9192	390.031	311.461	-0.053141	-0.771679	0.63208	0.046491	89.9114	389.99	311.434	0.0556691	0.770263	-0.633581	-0.0465839	-0.355319	-1.48424	0.762533	0.11595	0.204184	0.0504906	1.26397	0.611687	-0.968965	0.0193958	-0.00245294	-0.0012855	0.676051	-0.389943	0.00233513	90.5952	389.641	311.463	-0.053141	-0.771679	0.63208	0.046491	
70990.3 89.9192	390.031	311.464	-0.053038	-0.771735	0.632021	0.046489	89.9114	389.99	311.434	0.0556691	0.770263	-0.633581	-0.0465839	-0.045333	-1.35829	1.22906	0.119873	0.181146	0.0493536	1.13507	0.270996	-1.41272	0.0197264	-0.00166566	-0.00197022	0.715503	-0.393274	-0.0016053	90.6347	389.638	311.463	-0.053038	-0.771735	0.632021	0.046489	
70992.3 89.9192	390.031	311.468	-0.052935	-0.771791	0.631961	0.046487	89.9118	389.964	311.435	0.0556101	0.770292	-0.63355	-0.046596	0.838914	-0.931448	1.29783	0.103957	0.182433	0.0397675	0.881501	-0.679775	-1.42007	0.0195167	-0.00285864	-0.00252289	0.754537	-0.398992	-0.00665107	90.6737	389.632	311.461	-0.052935	-0.771791	0.631961	0.046487	
70994.3 89.9192	390.031	311.472	-0.052832	-0.771847	0.631902	0.046485	89.9118	389.964	311.435	0.0556101	0.770292	-0.63355	-0.046596	0.882143	-0.889071	2.43108	0.0840802	0.238068	0.0316995	0.687495	-0.760466	-2.53531	0.01894	-0.00409371	-0.00370852	0.792417	-0.407179	-0.0140681	90.7116	389.624	311.458	-0.052832	-0.771847	0.631902	0.046485	
70996.3 89.9192	390.031	311.475	-0.052729	-0.771903	0.631842	0.046483	89.9294	389.973	311.441	0.0554511	0.770326	-0.633521	-0.0466343	0.268008	-1.44098	2.67917	0.101902	0.263213	0.125226	1.06998	-0.0581024	-2.85972	0.019186	-0.00380054	-0.00487329	0.830789	-0.41478	-0.0238147	90.7499	389.616	311.451	-0.052729	-0.771903	0.631842	0.046483	
